1,Joseph Ugarte,2112,,Joseph Ugarte,437,380,325,325,300,280,0,1610
2,Carson Confer,1845,,Carson Confer,1974,350,325,300,280,160,0,1415
3,Riley Factura,1687,,Riley Factura,638,350,300,280,160,160,0,1250
4,Justin Tang,1675,,Justin Tang,2139,350,300,160,160,150,0,1120
5,Wolfe Glick,1595,,Wolfe Glick,3155,500,350,280,160,125,0,1415
6,Junxi Z,1558,Junxi Zhu,Junxi Zhu,2764,280,280,160,160,150,0,1030
7,Giovanni Cischke,1510,,Giovanni Cischke,325,280,280,125,125,80,0,890
8,Paul Chua,1490,,Paul Chua,614,325,280,200,100,100,0,1005
9,William Brown,1390,,William Brown,754,280,160,160,125,120,0,845
10,Tsltang0508,1312,Shiliang Tang,Shiliang Tang,2236,325,160,125,100,,1,710
11,James Evans,1310,,James Evans,1688,300,160,160,125,100,0,845
12,Marcus Dion,1305,,Marcus Dion,1770,325,300,280,80,80,0,1065
13,Cary D,1300,Cary D'Ortona,Cary D'Ortona,160,300,280,200,160,100,0,1040
14,Zachary Mnich,1260,,Zachary Mnich,771,280,160,150,125,125,0,840
15,Kyle Livinghouse,1240,,Kyle Livinghouse,1033,300,300,160,100,0,1,860
16,Zhe Zhang,1237,,Zhe Zhang,781,325,125,125,125,100,0,800
17,Kylan V,1210,Kylan Van Severen,Kylan Van Severen,1750,300,80,80,60,60,0,580
18,Yuki Zaninovich,1204,,Yuki Zaninovich,765,300,200,150,80,0,1,730
19,Lorenzo Arce,1200,,Lorenzo Arce,511,280,150,125,125,120,0,800
20,Caelan B,1199,Caelan Brown,Caelan Brown,144,280,125,100,60,60,0,625
21,Christopher Han,1186,,Christopher Han,199,280,160,150,125,125,0,840
22,Toler Webb,1167,,Toler Webb,729,300,100,80,80,60,0,620
23,Aaron Brok,1150,,Aaron Brok,1525,300,280,100,100,,1,780
24,Len Deuel,1149,,Len Deuel,3370,300,280,125,80,,1,785
25,Ryan Haig,1142,,Ryan Haig,2225,160,150,125,100,100,0,635
26,Hunter Braum,1137,,Hunter Braum,1051,350,160,100,100,100,0,810
27,Sunoru,1134,Dawei Si,Dawei Si,246,300,300,125,60,0,1,785
28,Giovanni Costa,1133,,Giovanni Costa,3761,300,120,100,80,,1,600
29,Dylan Salvanera,1130,,Dylan Salvanera,267,280,150,125,100,80,0,735
30,Kyle Muntazir,1130,Behzad Muntazir,Behzad Muntazir,1563,350,125,100,80,80,0,735
31,Montana Mott,1115,,Montana Mott,1797,280,100,80,80,60,0,600
32,Louis Milich,1110,,Louis Milich,512,160,160,125,125,125,0,695
33,Brian Collins,1105,,Brian Collins,1578,160,160,125,100,100,0,645
34,Collin Heier,1102,,Collin Heier,2444,280,160,100,100,,1,640
35,Chuppa Cross Iv,1094,Chuppa Cross,Chuppa Cross,1991,300,125,125,120,100,0,770
36,Noah Gardner,1080,,Noah Gardner,597,280,160,125,100,80,0,745
37,Thomas Irwin,1060,,Thomas Irwin,722,280,100,60,,,2,440
38,Gavin Michaels,1057,,Gavin Michaels,316,380,350,100,60,,1,890
39,Luca Paz,1054,,Luca Paz,2162,300,280,100,80,80,0,840
40,Tanner Mask,1049,,Tanner Mask,711,280,100,100,60,60,0,600
41,Justin Burns,1045,,Justin Burns,465,150,125,125,120,80,0,600
42,Aditya Subramanian,1036,,Aditya Subramanian,14,160,100,100,60,60,0,480
43,Zachary Weed,1035,,Zachary Weed,769,160,100,80,60,60,0,460
